2023-08-28 13:33:42,965 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Configure stats pid to 7453
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Loading settings from /Users/marconanka/.config/wandb/settings
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Loading settings from /Users/marconanka/BioMedia/code/contrastive-learning/wandb/settings
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/Users/marconanka/BioMedia/code/contrastive-learning/train.py'}
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_init.py:_log_setup():507] Logging user logs to /Users/marconanka/BioMedia/code/contrastive-learning/wandb/run-20230828_133342-1rl0bbzd/logs/debug.log
2023-08-28 13:33:42,966 INFO    MainThread:7453 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/marconanka/BioMedia/code/contrastive-learning/wandb/run-20230828_133342-1rl0bbzd/logs/debug-internal.log
2023-08-28 13:33:42,967 INFO    MainThread:7453 [wandb_init.py:init():547] calling init triggers
2023-08-28 13:33:42,967 INFO    MainThread:7453 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'num_epochs': 100, 'batch_size': 4, 'learning_rate': 0.001, 'validation_interval': 10}
2023-08-28 13:33:42,967 INFO    MainThread:7453 [wandb_init.py:init():596] starting backend
2023-08-28 13:33:42,967 INFO    MainThread:7453 [wandb_init.py:init():600] setting up manager
2023-08-28 13:33:42,970 INFO    MainThread:7453 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-08-28 13:33:42,972 INFO    MainThread:7453 [wandb_init.py:init():606] backend started and connected
2023-08-28 13:33:42,981 INFO    MainThread:7453 [wandb_init.py:init():697] updated telemetry
2023-08-28 13:33:43,023 INFO    MainThread:7453 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-28 13:33:43,532 INFO    MainThread:7453 [wandb_run.py:_on_init():2180] communicating current version
2023-08-28 13:33:43,631 INFO    MainThread:7453 [wandb_run.py:_on_init():2189] got version response 
2023-08-28 13:33:43,631 INFO    MainThread:7453 [wandb_init.py:init():781] starting run threads in backend
2023-08-28 13:33:43,830 INFO    MainThread:7453 [wandb_run.py:_console_start():2159] atexit reg
2023-08-28 13:33:43,830 INFO    MainThread:7453 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-28 13:33:43,830 INFO    MainThread:7453 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-28 13:33:43,831 INFO    MainThread:7453 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-28 13:33:43,831 INFO    MainThread:7453 [wandb_init.py:init():822] run started, returning control to user process
2023-08-28 13:33:51,697 WARNING MsgRouterThr:7453 [router.py:message_loop():77] message_loop has been closed
