2023-08-30 19:04:14,625 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Configure stats pid to 13641
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Loading settings from /Users/marconanka/.config/wandb/settings
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Loading settings from /Users/marconanka/BioMedia/code/contrastive-learning/wandb/settings
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/Users/marconanka/BioMedia/code/contrastive-learning/train.py'}
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_init.py:_log_setup():507] Logging user logs to /Users/marconanka/BioMedia/code/contrastive-learning/wandb/run-20230830_190414-u7b03saz/logs/debug.log
2023-08-30 19:04:14,626 INFO    MainThread:13641 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/marconanka/BioMedia/code/contrastive-learning/wandb/run-20230830_190414-u7b03saz/logs/debug-internal.log
2023-08-30 19:04:14,627 INFO    MainThread:13641 [wandb_init.py:init():547] calling init triggers
2023-08-30 19:04:14,627 INFO    MainThread:13641 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'num_epochs': 4, 'batch_size': 4, 'learning_rate': 0.01, 'validation_interval': 2}
2023-08-30 19:04:14,627 INFO    MainThread:13641 [wandb_init.py:init():596] starting backend
2023-08-30 19:04:14,627 INFO    MainThread:13641 [wandb_init.py:init():600] setting up manager
2023-08-30 19:04:14,630 INFO    MainThread:13641 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-08-30 19:04:14,634 INFO    MainThread:13641 [wandb_init.py:init():606] backend started and connected
2023-08-30 19:04:14,649 INFO    MainThread:13641 [wandb_init.py:init():697] updated telemetry
2023-08-30 19:04:14,685 INFO    MainThread:13641 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-30 19:04:15,189 INFO    MainThread:13641 [wandb_run.py:_on_init():2180] communicating current version
2023-08-30 19:04:15,310 INFO    MainThread:13641 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.15.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-30 19:04:15,310 INFO    MainThread:13641 [wandb_init.py:init():781] starting run threads in backend
2023-08-30 19:04:15,578 INFO    MainThread:13641 [wandb_run.py:_console_start():2159] atexit reg
2023-08-30 19:04:15,578 INFO    MainThread:13641 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-30 19:04:15,578 INFO    MainThread:13641 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-30 19:04:15,578 INFO    MainThread:13641 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-30 19:04:15,579 INFO    MainThread:13641 [wandb_init.py:init():822] run started, returning control to user process
